date,city,city_name,total,houses,non_houses
2002-05-01,Brisbane,Greater Brisbane,1557.0,1157.0,400.0
2002-05-01,Adelaide,Greater Adelaide,754.0,610.0,144.0
2002-05-01,Perth,Greater Perth,1580.0,1279.0,301.0
2002-05-01,Hobart,Greater Hobart,84.0,80.0,4.0
2002-05-01,Darwin,Greater Darwin,32.0,23.0,9.0
2002-05-01,ACT,Australian Capital Territory,249.0,126.0,123.0
2002-06-01,Sydney,Greater Sydney,2158.0,1017.0,1141.0
2002-06-01,Melbourne,Greater Melbourne,3036.0,2064.0,972.0
2002-06-01,Brisbane,Greater Brisbane,1736.0,1189.0,547.0
2002-06-01,Adelaide,Greater Adelaide,583.0,512.0,71.0
2002-06-01,Perth,Greater Perth,1440.0,1126.0,314.0
2002-06-01,Hobart,Greater Hobart,74.0,62.0,12.0
2002-06-01,Darwin,Greater Darwin,80.0,40.0,40.0
2002-06-01,ACT,Australian Capital Territory,95.0,80.0,15.0
2002-07-01,Sydney,Greater Sydney,2184.0,1059.0,1125.0
2002-07-01,Melbourne,Greater Melbourne,3252.0,2147.0,1105.0
2002-07-01,Brisbane,Greater Brisbane,1857.0,1255.0,602.0
2002-07-01,Adelaide,Greater Adelaide,702.0,616.0,86.0
2002-07-01,Perth,Greater Perth,1770.0,1516.0,254.0
2002-07-01,Hobart,Greater Hobart,89.0,87.0,2.0
2002-07-01,Darwin,Greater Darwin,97.0,42.0,55.0
2002-07-01,ACT,Australian Capital Territory,328.0,184.0,144.0
2002-08-01,Sydney,Greater Sydney,3031.0,960.0,2071.0
2002-08-01,Melbourne,Greater Melbourne,4843.0,2281.0,2562.0
2002-08-01,Brisbane,Greater Brisbane,2079.0,1389.0,690.0
2002-08-01,Adelaide,Greater Adelaide,809.0,611.0,198.0
2002-08-01,Perth,Greater Perth,1553.0,1238.0,315.0
2002-08-01,Hobart,Greater Hobart,96.0,94.0,2.0
2002-08-01,Darwin,Greater Darwin,47.0,31.0,16.0
2002-08-01,ACT,Australian Capital Territory,192.0,164.0,28.0
2002-09-01,Sydney,Greater Sydney,2291.0,911.0,1380.0
2002-09-01,Melbourne,Greater Melbourne,2890.0,2019.0,871.0
2002-09-01,Brisbane,Greater Brisbane,1439.0,959.0,480.0
2002-09-01,Adelaide,Greater Adelaide,614.0,559.0,55.0
2002-09-01,Perth,Greater Perth,1394.0,1227.0,167.0
2002-09-01,Hobart,Greater Hobart,84.0,82.0,2.0
2002-09-01,Darwin,Greater Darwin,88.0,31.0,57.0
2002-09-01,ACT,Australian Capital Territory,567.0,118.0,449.0
2002-10-01,Sydney,Greater Sydney,4596.0,981.0,3615.0
2002-10-01,Melbourne,Greater Melbourne,3642.0,2217.0,1425.0
2002-10-01,Brisbane,Greater Brisbane,1834.0,1182.0,652.0
2002-10-01,Adelaide,Greater Adelaide,904.0,559.0,345.0
2002-10-01,Perth,Greater Perth,1462.0,1212.0,250.0
